row,name,clan,cwl_slot,transferred_from,current_th,avg_war_th,attack_count,three_star_pct,miss_pct,th_attack_diff,offense_score,defense_score,final_score,flag_high_miss,flag_ltd_data,flag_no_data,flag_prev_data,flags,flag_alt
88,slightlyaroused,Flakes,CORE,Cake,18,17.4,19,15.8,17.4,-0.0,9.9,13.5,23.4,False,False,False,False,← Cake,False
89,Ecco,Flakes,CORE,,13,13.0,4,75.0,0.0,0.5,12.3,3.0,15.3,False,True,False,False,LTD,False
90,Grozbolt III,Flakes,SUB,,15,14.6,90,87.8,0.0,0.57,90.3,14.3,104.6,False,False,False,False,ALT,True
91,Grozbolt II,Flakes,SUB,,18,17.8,40,82.5,0.0,-0.62,79.9,15.0,94.9,False,False,False,False,ALT,True
92,Grozbolt IV,Flakes,SUB,,15,14.0,55,63.6,0.0,0.93,66.6,14.3,80.9,False,False,False,False,ALT,True
93,Grozbolt V,Flakes,SUB,,15,14.0,59,61.0,3.3,0.65,60.9,14.3,75.2,False,False,False,False,ALT,True
94,DEATH EATERS jr,Flakes,SUB,,17,16.0,32,65.6,27.3,0.5,48.9,12.1,61.0,True,False,False,False,ALT HM,True
95,JayDogg II,Flakes,SUB,,15,14.0,18,50.0,0.0,1.11,38.0,1.6,39.6,False,False,False,False,ALT,True
96,Crump,Flakes,SUB,,14,14.0,12,33.3,25.0,-0.1,12.0,6.3,18.3,True,False,False,False,HM,False
97,Cody,Flakes,SUB,,14,14.0,10,30.0,16.7,0.7,10.3,3.1,13.4,False,False,False,False,,False
98,ZiggyTheGreat5,Flakes,SUB,,13,12.4,4,50.0,60.0,1.35,3.4,7.4,10.8,True,True,False,False,ALT HM LTD,True
99,......,Flakes,SUB,,15,15.0,0,0.0,100.0,-15.0,0.0,10.1,10.1,True,False,True,False,HM ND,False
100,LOGAN,Flakes,SUB,,16,16.0,16,12.5,15.8,0.7,7.0,1.8,8.8,False,False,False,False,,False
101,Hans,Flakes,SUB,,15,14.0,8,0.0,11.1,0.8,0.0,8.4,8.4,False,True,False,False,LTD,False
102,Rødbetsalat,Flakes,SUB,,18,18.0,7,14.3,0.0,-1.6,3.7,3.9,7.6,False,True,False,False,LTD,False
103,SUZUYA,Flakes,SUB,,15,14.0,2,0.0,66.7,0.0,0.0,5.0,5.0,True,True,False,False,HM LTD,False
104,ben,Flakes,SUB,,15,15.0,0,0.0,100.0,-15.0,0.0,5.0,5.0,True,False,True,False,HM ND,False
105,Epyk’s LostSon,Flakes,SUB,,14,14.0,3,33.3,0.0,2.67,4.5,0.0,4.5,False,True,False,False,ALT LTD,True
106,™️Gazz™️,Flakes,SUB,,14,14.0,0,0.0,100.0,-14.0,0.0,1.6,1.6,True,False,True,False,ALT HM ND,True
107,crismel143,Flakes,SUB,,16,15.0,3,0.0,40.0,0.3,0.0,0.0,0.0,True,True,False,False,HM LTD,False
108,livvy,Flakes,SUB,,9,9.0,0,0.0,100.0,-9.0,0.0,0.0,0.0,True,False,True,False,HM ND,False
109,ZiggyTheGreat2,Flakes,SUB,,11,11.0,1,0.0,50.0,3.0,0.0,0.0,0.0,True,True,False,False,ALT HM LTD,True
110,ProjectSnipe3,Flakes,SUB,,14,14.0,2,0.0,50.0,2.5,0.0,0.0,0.0,True,True,False,False,ALT HM LTD,True
111,Mr.Yaseen Ali,Flakes,SUB,,15,,0,0.0,0.0,,,,,False,False,True,False,ND,False
112,Sara Ahmed,Flakes,SUB,,13,,0,0.0,0.0,,,,,False,False,True,False,ND,False
113,Assassin-Rafid,Flakes,SUB,,14,,0,0.0,0.0,,,,,False,False,True,False,ND,False
114,b¡tch im juna!,Flakes,SUB,,12,,0,0.0,0.0,,,,,False,False,True,False,ALT ND,True
115,™️GazyMP™️,Flakes,SUB,,13,,0,0.0,0.0,,,,,False,False,True,False,ALT ND,True
